"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 13:41:49","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151033","DFK1403228036000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151033"
"60017","2020-02-01 13:41:54","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151039","DFK1403228035000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151039"
"60017","2020-02-01 13:41:57","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151041","DFK1403228034000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151041"
"60017","2020-02-01 13:41:59","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151025","DFK1403228033000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151025"
"60017","2020-02-01 13:42:02","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151028","DFK1403228032000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151028"
"60017","2020-02-01 13:42:04","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151017","DFK1403228031000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151017"
"60017","2020-02-01 13:42:08","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151052","FKK1403105051000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151052"
"60017","2020-02-01 13:42:11","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151042","FKK1403105052000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151042"
"60017","2020-02-01 13:42:14","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151044","FKK1403105053000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151044"
"60017","2020-02-01 13:42:16","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151037","FKK1403105054000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151037"
"60017","2020-02-01 13:42:19","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151038","FKK1403105055000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151038"
"60017","2020-02-01 13:42:23","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151077","FKK1403105056000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151077"
"60017","2020-02-01 13:42:26","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151066","FKK1403105057000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151066"
"60017","2020-02-01 13:42:28","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151070","FKK1403105058000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151070"
"60017","2020-02-01 13:42:30","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151071","FKK1403105059000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151071"
