"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60012","2019-11-04 14:07:48","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151015","FKJO403033008000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:50","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151014","FKJO403033009000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:07:52","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151013","FKJO403033010000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:09:02","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151043","8975299420"
"60012","2019-11-04 14:09:05","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151042","FKJO403033014000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:09:08","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151041","FKJO403033013000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:09:11","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151056","FKJO403033012000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:09:13","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151055","FKJO403033011000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:10:10","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151003","FKJO403033016000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:10:12","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151058","FKJO403033017000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:10:16","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151059","FKJO403033018000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:10:18","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151060","FKJO403033019000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 14:10:22","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151049","FKJO403033020000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:21","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151025","FKJO402888001000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:23","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151012","FKJO402888002000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:26","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151001","FKJO402888003000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:28","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151002","FKJO402888004000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60016","2019-11-04 16:03:37","897529-9420","GAK1A02620191030001897529-9420              20191030     5IJ308975299420               2019103000151005","FKJO402888005000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
