"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60016","2020-01-22 13:59:00","ME229892","GEK1M136           ME229892                 20200110    12JA10ME229892                            51968","ME229892"
"60016","2020-01-22 14:01:09","1320A047","GAK1A003202001170021320A047                 20200117    10JA171320A047G                2020011700251005","1320A047"
"60016","2020-01-22 14:11:24","1060A217","GAK1A024202001170011060A217                 20200117     2JA171060A217G                2020011700151037","1060A217"
"60017","2020-01-22 14:49:31","1060A217","GAK1A024202001170011060A217                 20200117     2JA171060A217G                2020011700151087","1060A217"
"60017","2020-01-22 14:49:35","1060A217","GAK1A024202001170011060A217                 20200117     2JA171060A217G                2020011700151088","1060A217"
"60017","2020-01-22 15:11:02","1130A230","GAK1M120202001149031130A230                 20200114    12JA141130A230G                2020011490351002","1130A230"
"60017","2020-01-22 15:18:47","898231-9070","GAK1M09120200107001898231-9070              20200107    15JA078982319070               2020010700151010","FYK1404370002000015000015202001238982319070GEAR ASM;IDLE D TBKK  1A     "
"60017","2020-01-22 15:18:59","898231-9070","GAK1M09120200118001898231-9070              20200118    15JA188982319070               2020011800151001","FYK1404370001000015000015202001238982319070GEAR ASM;IDLE D TBKK  1A     "
"60017","2020-01-22 15:24:49","898243-2260","GAK1M08820200118001898243-2260              20200118    15JA188982432260               2020011800151018","DDK1402129001000015000015202001238982432260COVER ASM;T/CHAITBKK  1A     "
"60017","2020-01-22 16:03:15","6C526-1911-1","G1M058202001150036C526-1911-1   FG 20200115 20JA156C52619111     20200115003","8116C526191112001230002"
"60017","2020-01-22 16:05:46","TC832-2188-1","G1M05820200117015TC832-2188-1   FG 20200117 10JA17TC83221881     20200117015","811TC832218812001230005"
"60017","2020-01-22 16:06:21","TC832-2188-1","GAK1M05820200116021TC832-2188-1             20200116    10JA16TC83221881               2020011602151001","811TC832218812001230004"
"60017","2020-01-23 15:43:57","1130A228","GAK1M136202001169011130A228                 20200116    15JA161130A228G                2020011690151025","1130A228"
"60017","2020-01-23 15:46:13","ME229892","GEK1M136           ME229892                 20200110    12JA10ME229892                            51974","ME229892"
"60017","2020-01-23 15:47:18","1125A218","GAK1M136202001200011125A218                 20200120    45JA201125A218                 2020012000151001","1125A218"
"60017","2020-01-23 15:51:42","MD181579X1V","GEK1A006           MD181579X1V              20180822     1HH22MD181579X1V                      00251973","MD181579X1V"
"60017","2020-01-23 15:56:37","1060A217","GAK1A024202001200011060A217                 20200120     2JA201060A217G                2020012000151043","1060A217"
"60017","2020-01-23 16:10:08","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151228","1060A217"
"60017","2020-01-23 16:10:11","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151229","1060A217"
"60017","2020-01-23 16:10:15","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151226","1060A217"
"60017","2020-01-23 16:10:18","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151227","1060A217"
"60017","2020-01-23 16:10:21","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151233","1060A217"
"60017","2020-01-23 16:10:24","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151232","1060A217"
"60017","2020-01-23 16:10:29","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151231","1060A217"
"60017","2020-01-23 16:10:35","1060A217","GAK1A024202001209011060A217                 20200120     2JA201060A217G                2020012090151230","1060A217"
"60017","2020-01-23 16:12:18","1300A126","GAK1A023202001160021300A126                 20200116     4JA161300A126G                2020011600151031","1300A126"
"60017","2020-01-24 15:24:52","1130A230","GAK1M120202001189021130A230                 20200118    12JA181130A230G                2020011890251003","1130A230"
